CPH	3880.0	540	normal	ORD
BOD	279.0	82	normal	BES
LCA	1933.0	290	lowcost	MAN
RAK	1094.0	154	normal	CFE
VCE	356.0	99	normal	PRG
STN	619.0	114	lowcost	SZG
FRA	773.0	138	lowcost	SOF
TFS	1677.0	240	lowcost	STN
DTW	3457.0	431	normal	AMS
FRA	5119.0	671	normal	LAX
CDG	404.0	75	normal	BIQ
GVA	481.0	93	lowcost	SXF
DUB	281.0	80	lowcost	SOU
JTR	1453.0	218	lowcost	LGW
OUA	2266.0	304	normal	CDG
NAP	590.0	126	lowcost	OTP
RIX	465.0	98	lowcost	TRF
KWI	2415.0	386	normal	PRG
BCN	475.0	110	lowcost	BLQ
TRF	251.0	73	normal	CPH
BCN	1074.0	168	lowcost	AAL
KTW	914.0	145	lowcost	MLA
HEL	4068.0	473	normal	PVG
LGW	5157.0	672	normal	GIG
FAO	1093.0	167	lowcost	LBA
AMS	1314.0	222	normal	CMN
MAH	553.0	99	lowcost	XRY
SPC	155.0	36	lowcost	LPA
FAO	1162.0	185	lowcost	PIK
BCN	1331.0	237	normal	MSQ
VNO	1143.0	194	lowcost	DUB
DUS	557.0	92	lowcost	KRK
SOF	339.0	69	normal	ATH
ARN	750.0	144	lowcost	SZG
BRI	409.0	78	lowcost	GOA
RIX	941.0	155	lowcost	LTN
KIV	783.0	133	normal	VRN
VCE	483.0	91	lowcost	TXL
CGN	847.0	159	lowcost	SOF
JFK	2955.0	408	normal	LIS
ZRH	534.0	90	normal	BEG
DXB	3194.0	428	normal	MAN
LHR	4581.0	593	normal	MAA
MMX	160.0	46	normal	MMX
NWI	1722.0	258	lowcost	TFS
SXB	968.0	144	normal	DJE
HEL	511.0	88	normal	IVL
LHE	3608.0	491	normal	LHR
OSL	1331.0	211	normal	VLC
DTM	339.0	66	lowcost	LTN
HND	5397.0	708	normal	CDG
MAD	1333.0	207	normal	WAW
WAW	1911.0	307	lowcost	AGA
MRS	786.0	131	lowcost	FAO
TLV	661.0	117	normal	SAW
ZAG	890.0	134	lowcost	AYT
TLS	594.0	104	normal	TUN
IAD	3349.0	401	normal	CMN
CIA	662.0	115	lowcost	BVA
AMS	822.0	132	lowcost	VLC
FUE	2179.0	316	lowcost	WAW
MAD	557.0	111	normal	GVA
MIA	4045.0	526	normal	BRU
AMS	536.0	93	lowcost	VRN
PRG	1300.0	188	lowcost	ROV
ABZ	421.0	76	normal	AMS
AJA	197.0	41	normal	MRS
CMN	126.0	33	normal	RAK
YYZ	3534.0	426	normal	ZRH
LIR	4798.0	580	lowcost	LGW
ANR	1067.0	158	normal	NDR
CMN	260.0	53	normal	AGA
LPA	2217.0	307	normal	KLR
TFS	1556.0	223	normal	CDG
DUS	285.0	65	normal	ZRH
TXL	184.0	50	lowcost	PAD
GYD	262.0	55	normal	TBS
NUE	1751.0	261	normal	HRG
CFR	454.0	85	lowcost	MRS
SDR	928.0	143	lowcost	SXF
AAL	362.0	64	normal	AMS
PMI	829.0	133	normal	VIE
NUE	746.0	125	lowcost	PMI
STR	85.0	27	lowcost	SXB
LHR	3427.0	499	normal	RDU
DSA	926.0	137	lowcost	RIX
FCO	340.0	80	normal	MRS
SVG	1294.0	214	lowcost	ALC
SXF	543.0	87	lowcost	STN
SOF	348.0	77	lowcost	BUD
LIS	3715.0	516	normal	SSA
CPH	932.0	161	lowcost	SKP
LCY	918.0	165	normal	LIS
MLE	3660.0	530	normal	SVO
BUD	446.0	83	normal	ZRH
STR	4195.0	593	normal	ATL
LEJ	306.0	117	normal	BSL
LBA	492.0	90	normal	BGO
BLQ	649.0	120	lowcost	VLC
RIX	577.0	109	lowcost	TRD
LYS	289.0	54	lowcost	BLQ
ATH	984.0	167	normal	SXB
GVA	502.0	82	lowcost	NAP
RIX	1199.0	195	lowcost	BOD
LIG	433.0	98	lowcost	BRS
TFS	1922.0	276	lowcost	HAJ
SHJ	3156.0	446	normal	TLS
AMM	424.0	92	lowcost	AYT
TFN	3075.0	454	normal	CCS
LHR	5630.0	758	normal	BKK
SKG	565.0	97	lowcost	VIE
LGW	647.0	118	normal	VCE
ARN	2148.0	325	normal	FNC
TFS	1702.0	242	normal	VRN
DUB	1117.0	170	lowcost	RIX
TUN	338.0	67	lowcost	ALG
FRA	4243.0	597	lowcost	REC
HER	178.0	39	lowcost	ATH
LIN	549.0	98	lowcost	AMS
BGO	419.0	82	normal	CPH
MAN	1227.0	191	lowcost	CTA
LIL	1550.0	236	lowcost	ACE
CFE	225.0	46	normal	MRS
SPU	768.0	116	normal	AMS
ODS	284.0	67	normal	KBP
POP	4486.0	543	lowcost	ARN
TXL	509.0	100	normal	MXP
PFO	2034.0	303	lowcost	DUB
LGW	812.0	141	normal	ALC
TRE	78.0	41	normal	CAL
MXP	32.0	373	normal	MXP
TFS	2206.0	357	lowcost	GOT
BCN	710.0	119	lowcost	MLA
CPH	3866.0	481	normal	DEL
ALC	183.0	61	normal	PMI
SXF	401.0	93	lowcost	BSL
LIL	354.0	65	lowcost	LYS
PRG	167.0	50	lowcost	SZG
HAJ	878.0	138	normal	AJR
BLQ	442.0	78	normal	REG
SOF	533.0	106	normal	FCO
CTA	481.0	84	normal	PSA
WAW	723.0	124	normal	TRN
LGW	1122.0	181	lowcost	CTA
LCA	630.0	115	lowcost	VAR
TRN	824.0	125	lowcost	EDI
TRN	421.0	78	normal	BRU
SZX	4703.0	690	normal	TLV
ORY	239.0	45	lowcost	GVA
TLS	658.0	99	lowcost	MAN
PFO	1098.0	173	lowcost	BTS
DTM	1129.0	158	lowcost	HRK
VLC	179.0	44	lowcost	BCN
NCL	178.0	44	normal	NCL
TLV	1887.0	291	normal	LED
WAW	932.0	144	lowcost	ESB
AMS	257.0	57	normal	HUY
FUE	1750.0	251	lowcost	GLA
ZRH	402.0	87	normal	TXL
DXB	2467.0	346	lowcost	CTA
VIE	752.0	126	normal	DNK
CDG	539.0	91	normal	LJU
OSL	711.0	114	lowcost	KRK
ACE	1968.0	279	lowcost	SXF
KBP	3259.0	436	normal	DEL
